Time [yyyy-MM-dd HH:mm:ss],Discharge at (Waal2_A_ 3377_91) [m³/s],Discharge at (Waal2_B_A_A_A_ 6036_293) [m³/s],Discharge at (Waal2_B_A_A_B_ 2057_629) [m³/s]
1999-12-27 00:00:00,4277_4,4277_7,4277_8
1999-12-27 01:00:00,1167_8,1067_2,1058
1999-12-27 02:00:00,1225,1187_6,1177_9
1999-12-27 03:00:00,1330_1,1250,1231_8
1999-12-27 04:00:00,1514_7,1372_6,1336_4
1999-12-27 05:00:00,1732_1,1546,1493_1
1999-12-27 06:00:00,1980_4,1754_2,1685_7
1999-12-27 07:00:00,2217_8,1974_3,1896_6
1999-12-27 08:00:00,2427_5,2185_3,2104_6
1999-12-27 09:00:00,2603_5,2372_2,2292_8
1999-12-27 10:00:00,2750_1,2533_4,2457_6
1999-12-27 11:00:00,2870_9,2670_3,2599_6
1999-12-27 12:00:00,2969,2785_5,2720_8
1999-12-27 13:00:00,3051_2,2883_8,2825_4
1999-12-27 14:00:00,3119_1,2965_1,2912_1
1999-12-27 15:00:00,3178_8,3036_6,2988
1999-12-27 16:00:00,3230_3,3099_3,3054_7
1999-12-27 17:00:00,3274_7,3154_2,3113_3
1999-12-27 18:00:00,3313_4,3202_8,3165_5
1999-12-27 19:00:00,3347_1,3245_7,3211_6
1999-12-27 20:00:00,3376_9,3283_3,3251_9
1999-12-27 21:00:00,3403_2,3316_8,3287_9
1999-12-27 22:00:00,3426_6,3346_3,3319_8
1999-12-27 23:00:00,3447_6,3372_8,3348_4
1999-12-28 00:00:00,3466_9,3396_9,3374_5
1999-12-28 01:00:00,3484_9,3418_5,3397_8
1999-12-28 02:00:00,3501_1,3438_4,3419_4
1999-12-28 03:00:00,3515_5,3456_8,3439_3
1999-12-28 04:00:00,3528_7,3473_8,3457_6
1999-12-28 05:00:00,3540_7,3489_2,3474_1
1999-12-28 06:00:00,3551_6,3503_3,3489_3
1999-12-28 07:00:00,3561_5,3516_2,3503_2
1999-12-28 08:00:00,3570_6,3528_1,3516
1999-12-28 09:00:00,3579,3538_8,3527_5
1999-12-28 10:00:00,3586_7,3548_7,3538
1999-12-28 11:00:00,3593_9,3558,3547_9
1999-12-28 12:00:00,3600_7,3566_9,3557_5
1999-12-28 13:00:00,3607_2,3575_4,3566_5
1999-12-28 14:00:00,3613_4,3583_3,3575
1999-12-28 15:00:00,3619_1,3590_7,3582_9
1999-12-28 16:00:00,3624_5,3597_7,3590_3
1999-12-28 17:00:00,3629_5,3604_2,3597_2
1999-12-28 18:00:00,3634_1,3610_2,3603_7
1999-12-28 19:00:00,3638_4,3615_9,3609_8
1999-12-28 20:00:00,3642_6,3621_6,3615_8
1999-12-28 21:00:00,3646_7,3627,3621_7
1999-12-28 22:00:00,3650_6,3632_2,3627_2
1999-12-28 23:00:00,3654_3,3637,3632_3
1999-12-29 00:00:00,3657_7,3641_4,3637
1999-12-29 01:00:00,3660_9,3645_6,3641_4
1999-12-29 02:00:00,3663_9,3649_5,3645_5
1999-12-29 03:00:00,3666_7,3653_1,3649_4
1999-12-29 04:00:00,3669_3,3656_6,3653_1
1999-12-29 05:00:00,3671_8,3659_8,3656_6
1999-12-29 06:00:00,3674_2,3662_9,3659_8
1999-12-29 07:00:00,3676_4,3665_7,3662_8
1999-12-29 08:00:00,3678_5,3668_4,3665_6
1999-12-29 09:00:00,3680_4,3670_9,3668_3
1999-12-29 10:00:00,3682_3,3673_2,3670_8
1999-12-29 11:00:00,3684,3675_4,3673_1
1999-12-29 12:00:00,3685_6,3677_5,3675_3
1999-12-29 13:00:00,3687_1,3679_4,3677_3
1999-12-29 14:00:00,3688_5,3681_2,3679_2
1999-12-29 15:00:00,3689_8,3682_9,3681
1999-12-29 16:00:00,3691_1,3684_5,3682_7
1999-12-29 17:00:00,3692_2,3686,3684_3
1999-12-29 18:00:00,3693_3,3687_4,3685_8
1999-12-29 19:00:00,3694_4,3688_7,3687_2
1999-12-29 20:00:00,3695_3,3689_9,3688_5
1999-12-29 21:00:00,3696_3,3691_1,3689_7
1999-12-29 22:00:00,3697_1,3692_2,3690_9
1999-12-29 23:00:00,3697_9,3693_3,3692_1
1999-12-30 00:00:00,3698_7,3694_3,3693_1
1999-12-30 01:00:00,3699_4,3695_2,3694_1
1999-12-30 02:00:00,3700_1,3696_1,3695_1
1999-12-30 03:00:00,3700_7,3697,3696
1999-12-30 04:00:00,3701_3,3697_8,3696_8
1999-12-30 05:00:00,3701_9,3698_5,3697_6
1999-12-30 06:00:00,3702_4,3699_2,3698_3
1999-12-30 07:00:00,3703,3699_9,3699_1
1999-12-30 08:00:00,3703_4,3700_5,3699_7
1999-12-30 09:00:00,3703_9,3701_1,3700_4
1999-12-30 10:00:00,3704_3,3701_7,3701
1999-12-30 11:00:00,3704_7,3702_3,3702_5
1999-12-30 12:00:00,3714_6,3709,3706_9
1999-12-30 13:00:00,3708_1,3704,3702_9
1999-12-30 14:00:00,3707,3703_9,3703_1
1999-12-30 15:00:00,3706_6,3704,3703_3
1999-12-30 16:00:00,3706_7,3704_3,3703_6
1999-12-30 17:00:00,3706_8,3704_6,3704
1999-12-30 18:00:00,3707,3705,3704_4
1999-12-30 19:00:00,3707_2,3705_3,3704_8
1999-12-30 20:00:00,3707_4,3705_7,3705_2
1999-12-30 21:00:00,3707_7,3706,3705_6
1999-12-30 22:00:00,3707_9,3706_4,3705_9
1999-12-30 23:00:00,3708_1,3706_7,3706_3
1999-12-31 00:00:00,3708_3,3707,3706_6
1999-12-31 01:00:00,3708_5,3707_3,3706_9
1999-12-31 02:00:00,3708_7,3707_5,3707_2
1999-12-31 03:00:00,3708_9,3707_8,3707_5
1999-12-31 04:00:00,3709_1,3708,3707_7
1999-12-31 05:00:00,3709_3,3708_3,3708
1999-12-31 06:00:00,3709_4,3708_5,3708_2
1999-12-31 07:00:00,3709_6,3708_7,3708_4
1999-12-31 08:00:00,3709_7,3708_9,3708_7
1999-12-31 09:00:00,3709_9,3709_1,3708_9
1999-12-31 10:00:00,3710,3709_3,3709
1999-12-31 11:00:00,3710_2,3709_4,3709_2
1999-12-31 12:00:00,3710_3,3709_6,3709_4
1999-12-31 13:00:00,3710_4,3709_7,3709_6
1999-12-31 14:00:00,3710_5,3709_9,3709_7
1999-12-31 15:00:00,3710_6,3710,3709_9
1999-12-31 16:00:00,3710_7,3710_2,3710
1999-12-31 17:00:00,3710_8,3710_3,3710_1
1999-12-31 18:00:00,3710_9,3710_4,3710_3
1999-12-31 19:00:00,3711,3710_5,3710_4
1999-12-31 20:00:00,3711_1,3710_6,3710_5
1999-12-31 21:00:00,3711_1,3710_7,3710_6
1999-12-31 22:00:00,3711_2,3710_8,3710_7
1999-12-31 23:00:00,3711_3,3710_9,3710_8
2000-01-01 00:00:00,3711_3,3711,3710_9
2000-01-01 01:00:00,3711_4,3711_1,3711
2000-01-01 02:00:00,3711_6,3711_2,3711_1
2000-01-01 03:00:00,3711_7,3711_4,3711_3
2000-01-01 04:00:00,3711_8,3711_5,3711_4
2000-01-01 05:00:00,3711_8,3711_5,3711_5
2000-01-01 06:00:00,3711_5,3711_4,3711_3
2000-01-01 07:00:00,3710_8,3711,3711
2000-01-01 08:00:00,3710,3710_4,3710_5
2000-01-01 09:00:00,3708_8,3709_5,3709_7
2000-01-01 10:00:00,3707_4,3708_5,3708_7
2000-01-01 11:00:00,3705_8,3707_2,3707_5
2000-01-01 12:00:00,3703_9,3705_7,3706_1
2000-01-01 13:00:00,3701_9,3704,3704_4
2000-01-01 14:00:00,3699_7,3702_1,3702_7
2000-01-01 15:00:00,3697_3,3700_1,3700_7
2000-01-01 16:00:00,3694_8,3697_9,3698_6
2000-01-01 17:00:00,3692_2,3695_6,3696_4
2000-01-01 18:00:00,3689_5,3693_1,3694
2000-01-01 19:00:00,3686_6,3690_6,3691_5
2000-01-01 20:00:00,3683_7,3687_9,3689
2000-01-01 21:00:00,3680_6,3685_2,3686_3
2000-01-01 22:00:00,3677_5,3682_3,3683_5
2000-01-01 23:00:00,3674_3,3679_4,3680_6
2000-01-02 00:00:00,3671_1,3676_4,3677_7
2000-01-02 01:00:00,3667_8,3673_3,3674_7
2000-01-02 02:00:00,3664_4,3670_1,3671_5
2000-01-02 03:00:00,3661,3666_9,3668_3
2000-01-02 04:00:00,3657_8,3663_7,3665_2
2000-01-02 05:00:00,3655_1,3660_9,3662_4
2000-01-02 06:00:00,3653_1,3658_5,3659_9
